City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,40,AU,1612471876,72,-25.2406,130.9889,66.2,12.66
rock sound,75,BO,1612471607,51,-16.5,-68.15,57.2,5.75
rock sound,75,NO,1612471646,86,70.3705,31.1107,26.6,17.27
rock sound,0,KE,1612471813,28,3.9366,41.867,78.76,6.49
rock sound,0,OM,1612471647,71,22.5667,59.5289,65.3,4.16
rock sound,90,US,1612471693,81,45.5234,-122.6762,45.0,8.05
rock sound,90,CA,1612471876,86,55.2999,-123.1698,15.8,4.61
rock sound,28,GH,1612471876,84,4.8845,-1.7554,79.92,9.44
rock sound,31,AO,1612471876,72,-14.6585,17.691,66.51,1.86
rock sound,75,US,1612471876,64,21.4447,-157.8378,71.6,6.91
rock sound,14,NA,1612471876,90,-28.55,16.4333,63.41,11.48
rock sound,90,US,1612471876,79,60.5544,-151.2583,15.8,5.75
rock sound,99,BR,1612471877,91,-24.7911,-50.0119,73.54,7.27
rock sound,20,BR,1612471877,61,-8.0089,-34.8553,82.4,8.05
rock sound,0,SO,1612471877,76,7.9803,49.8164,72.1,12.73
rock sound,20,US,1612471877,23,31.8469,-81.5959,60.8,8.05
rock sound,95,MZ,1612471877,87,-25.0519,33.6442,78.1,6.24
rock sound,1,US,1612471877,51,42.2506,-75.833,35.6,6.91
rock sound,20,US,1612471087,62,37.7749,-122.4194,57.99,9.22
rock sound,1,US,1612471779,48,28.0836,-80.6081,66.99,6.91
rock sound,100,AU,1612471877,85,-17.5333,146.0333,76.89,1.12
rock sound,1,MX,1612471830,36,22.8909,-109.9124,82.99,3.44
rock sound,40,PT,1612471877,67,37.7167,-25.4333,55.4,17.27
rock sound,88,RU,1612471763,87,66.0833,76.6333,-20.33,7.7
rock sound,99,CD,1612471878,82,0.0487,18.2603,73.92,4.79
rock sound,27,AO,1612471878,93,-11.7833,19.9167,63.41,1.32
rock sound,2,UZ,1612471687,69,40.4272,71.7189,33.8,4.61
rock sound,1,US,1612471879,71,40.5982,-124.1573,54.0,7.2
rock sound,49,MG,1612471879,81,-25.1667,46.0833,78.49,4.9
rock sound,99,GA,1612471879,85,-2.65,10.0,79.45,2.98
rock sound,40,MU,1612471624,78,-20.4081,57.7,78.8,11.5
rock sound,90,US,1612471879,63,46.7208,-92.1041,24.8,21.85
rock sound,100,ZA,1612471879,91,-28.783,32.0377,75.92,9.22
rock sound,0,AR,1612471875,18,-33.295,-66.3356,83.8,8.41
rock sound,20,CA,1612471880,60,46.3834,-82.6331,37.4,17.27
rock sound,100,CA,1612471880,93,52.6768,-113.5815,17.6,9.22
rock sound,0,GL,1612471880,76,61.994,-49.6678,15.67,9.19
rock sound,40,MU,1612471643,78,-20.5167,57.5167,78.8,11.5
rock sound,0,MA,1612471880,88,35.174,-2.9287,59.0,9.22
rock sound,0,NO,1612471880,36,62.5833,6.1333,24.8,13.8
rock sound,46,NZ,1612471880,48,-38.0651,174.8183,66.99,3.0
rock sound,0,CN,1612471880,52,36.5583,104.2081,28.99,6.71
rock sound,90,MG,1612471880,89,-14.9003,50.2788,75.65,5.12
rock sound,0,NE,1612471881,27,18.6853,12.9164,64.8,6.73
rock sound,90,RU,1612471881,100,52.9933,58.1014,33.8,8.95
rock sound,75,EC,1612471882,78,-2.6667,-79.6167,82.4,5.75
rock sound,20,BR,1612471882,74,-15.8631,-38.8828,84.2,8.05
rock sound,100,CN,1612471882,41,39.5097,116.6947,37.0,3.09
rock sound,18,MZ,1612471882,87,-23.8597,35.3472,80.8,2.8
rock sound,20,ES,1612471659,51,28.6585,-17.9182,60.8,8.05
rock sound,100,ID,1612471882,86,-3.3667,135.4833,75.83,2.51
rock sound,90,CA,1612471882,79,50.1001,-91.917,15.8,10.36
